timestamp,round,accuracy
2026-02-13T21:46:32.734995,1,0.725
2026-02-13T21:51:58.035677,2,0.7875
2026-02-13T21:57:30.096984,3,0.8125
2026-02-13T22:02:36.616197,4,0.8625
2026-02-13T22:08:05.017262,5,0.8875
2026-04-12T00:02:47.385571,1,0.6835,0.01,0.005,True,False
2026-04-12T00:08:10.197229,2,0.7089,0.01,0.005,True,False
2026-04-12T00:14:06.470364,3,0.7215,0.01,0.005,True,False
2026-04-12T00:19:52.150087,4,0.3418,0.01,0.005,True,False
2026-04-12T00:26:16.609444,5,0.7215,0.01,0.005,True,False
